column,dtype,non_null,missing,unique_count,unique_pct,sample_values
job_id,str,1500,0,1500,100.0,AIJOB1496 | AIJOB1497 | AIJOB1498 | AIJOB1499 | AIJOB1500
job_title,str,1500,0,25,1.6666666666666667,Multimodal AI Engineer | NLP Engineer | AI Compliance Manager | AI Security Engineer | AI Infrastructure Eng
AI Engineering,str,1500,0,13,0.8666666666666666,Security | Product | AI Engineering | Robotics | Business
experience_level,str,1500,0,4,0.26666666666666666,Lead (10+ yrs) | Senior (6-9 yrs) | Mid (3-5 yrs) | Entry (0-2 yrs)
years_of_experience,int64,1500,0,15,1.0,15 | 14 | 13 | 12 | 11
education_required,str,1500,0,5,0.33333333333333337,Master's | Bootcamp/Self-taught | Bachelor's | PhD | Associate's
annual_salary_usd,int64,1500,0,248,16.53333333333333,90000 | 130000 | 95000 | 287000 | 94000
salary_min_usd,int64,1500,0,17,1.1333333333333333,160000 | 145000 | 100000 | 140000 | 90000
salary_max_usd,int64,1500,0,16,1.0666666666666667,300000 | 290000 | 200000 | 260000 | 270000
city,str,1500,0,20,1.3333333333333335,Toronto | Berlin | Zurich | Bangalore | Remote
country,str,1500,0,14,0.9333333333333335,Canada | Germany | Switzerland | India | Global
remote_work,str,1500,0,3,0.2,Hybrid | On-site | Fully Remote
company_size,str,1500,0,5,0.33333333333333337,SME (51-500) | Mid-size (501-5000) | Enterprise (5000+) | Startup (1-50) | Big Tech (FAANG+)
industry,str,1500,0,12,0.8,Retail | Manufacturing | Media | Technology | Education
required_skills,str,1500,0,1500,100.0,Python|Vision-Language Models|Fine-tuning|PyTorch|Research|Problem Solving|Communication | Transformers|Text Processing|LLMs|Hugging Face|SQL|Problem Solving|Agile | Documentation|Risk Management|Legal Knowledge|Linux | LLMs|Hugging Face|Python|Transformers|BERT|Text Processing|Research|Communication | Cybersecurity|ML Security|Red Teaming|Python|Risk Analysis|Research|Problem Solving|SQL
ai_salary_premium_pct,float64,1500,0,151,10.066666666666666,8.8 | 6.7 | 10.9 | 8.5 | 12.2
demand_score,int64,1500,0,20,1.3333333333333335,90 | 91 | 68 | 80 | 85
demand_growth_yoy_pct,float64,1500,0,565,37.666666666666664,23.6 | 66.5 | 15.3 | 78.8 | 9.0
benefits_score_10,int64,1500,0,5,0.33333333333333337,8 | 7 | 9 | 6 | 10
posting_year,int64,1500,0,2,0.13333333333333333,2026 | 2025
posting_month,int64,1500,0,12,0.8,1 | 3 | 5 | 6 | 2
is_senior,int64,1500,0,2,0.13333333333333333,1 | 0
is_remote_friendly,int64,1500,0,2,0.13333333333333333,1 | 0
is_llm_role,int64,1500,0,2,0.13333333333333333,0 | 1
salary_tier,str,1500,0,5,0.33333333333333337,Senior ($200-300k) | Upper-Mid ($150-200k) | Mid ($100-150k) | Elite (>$300k) | Entry (<$100k)
