feature,policy,role,reason
job_title,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
job_category,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
years_of_experience,ALLOW,KEEP_WITH_ABLATION_WARNING,Available before target; transformed only inside TRAIN-fitted preprocessing.
education_required,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
city,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
country,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
remote_work,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
company_size,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
industry,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
demand_score,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
benefits_score_10,ALLOW,KEEP,Available before target; transformed only inside TRAIN-fitted preprocessing.
required_skills,ALLOW,PHASE2_MULTI_HOT,Available before target; transformed only inside TRAIN-fitted preprocessing.
skill_count,ALLOW,ENGINEERED,Available before target; transformed only inside TRAIN-fitted preprocessing.
job_id,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
salary_min_usd,BLOCK,EXCLUDED,Target leakage / target-adjacent compensation metadata.
salary_max_usd,BLOCK,EXCLUDED,Target leakage / target-adjacent compensation metadata.
salary_tier,BLOCK,EXCLUDED,Target leakage / target-adjacent compensation metadata.
experience_level,BLOCK,EXCLUDED,Contradictory/redundant with years_of_experience; primary model uses ablation evidence instead.
posting_year,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
posting_month,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
is_senior,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
is_remote_friendly,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
is_llm_role,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
ai_salary_premium_pct,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
demand_growth_yoy_pct,BLOCK,EXCLUDED,"Identifier, derived flag, temporal metadata or unverified inference-time/provenance field."
