job_id,job_title,AI Engineering,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB1496,Multimodal AI Engineer,Security,Lead (10+ yrs),15,Master's,90000,160000,300000,Toronto,Canada,Hybrid,SME (51-500),Retail,Python|Vision-Language Models|Fine-tuning|PyTorch|Research|Problem Solving|Communication,8.8,90,23.6,8,2026,1,1,1,0,Senior ($200-300k)
AIJOB1497,NLP Engineer,Security,Senior (6-9 yrs),15,Bootcamp/Self-taught,90000,145000,290000,Berlin,Germany,On-site,Mid-size (501-5000),Manufacturing,Transformers|Text Processing|LLMs|Hugging Face|SQL|Problem Solving|Agile,6.7,91,66.5,8,2025,3,1,0,0,Upper-Mid ($150-200k)
AIJOB1498,AI Compliance Manager,Security,Mid (3-5 yrs),15,Master's,90000,100000,200000,Zurich,Switzerland,Hybrid,SME (51-500),Manufacturing,Documentation|Risk Management|Legal Knowledge|Linux,10.9,68,15.3,8,2026,3,0,1,0,Mid ($100-150k)
AIJOB1499,NLP Engineer,Security,Lead (10+ yrs),15,Bachelor's,90000,145000,290000,Bangalore,India,Hybrid,Enterprise (5000+),Media,LLMs|Hugging Face|Python|Transformers|BERT|Text Processing|Research|Communication,8.5,91,78.8,7,2025,5,1,1,0,Mid ($100-150k)
AIJOB1500,AI Security Engineer,Security,Lead (10+ yrs),15,Master's,90000,140000,260000,Berlin,Germany,Hybrid,Enterprise (5000+),Technology,Cybersecurity|ML Security|Red Teaming|Python|Risk Analysis|Research|Problem Solving|SQL,12.2,80,9.0,9,2025,6,1,1,0,Senior ($200-300k)
AIJOB1492,AI Infrastructure Eng,Security,Lead (10+ yrs),14,Master's,90000,140000,270000,Remote,Global,Hybrid,Startup (1-50),Education,Distributed Systems|Kubernetes|Cloud|Networking|CUDA|Git|Communication|SQL,9.9,85,27.6,8,2026,2,1,1,0,Senior ($200-300k)
AIJOB1493,Prompt Engineer,Security,Senior (6-9 yrs),14,PhD,90000,90000,200000,Seattle,USA,Hybrid,Mid-size (501-5000),Finance,Testing|NLP|Documentation|Prompt Design|LLM APIs|Statistics|Agile,3.2,82,20.7,8,2026,2,1,1,1,Senior ($200-300k)
AIJOB1494,Senior Data Scientist,Security,Lead (10+ yrs),14,Bootcamp/Self-taught,90000,157000,218000,Seattle,USA,Hybrid,SME (51-500),Technology,ML|Deep Learning|Causal Inference|Python|Leadership|Leadership|Agile|Research,3.3,90,7.0,7,2026,3,1,1,0,Senior ($200-300k)
AIJOB1285,AI Solutions Architect,Product,Entry (0-2 yrs),14,Bootcamp/Self-taught,130000,180000,320000,Chicago,USA,On-site,Enterprise (5000+),Research,Cloud|Python|System Design|Leadership|ML|Enterprise Architecture|Leadership|Linux,15.6,84,21.1,6,2025,8,0,0,0,Upper-Mid ($150-200k)
AIJOB1486,Robotics Engineer (AI),Security,Mid (3-5 yrs),13,Bachelor's,95000,125000,240000,Boston,USA,Hybrid,Big Tech (FAANG+),Healthcare,Simulation|C++|Control Systems|Python|Computer Vision|ROS|Agile,17.4,76,29.0,8,2026,2,0,1,0,Senior ($200-300k)
AIJOB0171,AI Solutions Architect,AI Engineering,Entry (0-2 yrs),13,Associate's,287000,180000,320000,Boston,USA,On-site,Enterprise (5000+),Government,Python|Cloud|System Design|Cloud|Leadership|Agile,16.5,84,8.4,7,2026,3,0,0,0,Upper-Mid ($150-200k)
AIJOB1488,RAG Engineer,Security,Lead (10+ yrs),13,Associate's,94000,145000,280000,Dubai,UAE,Hybrid,Big Tech (FAANG+),Automotive,Embeddings|LLMs|Search Systems|Vector DBs|LangChain|Python|Agile|Git,3.8,94,59.6,10,2026,3,1,1,1,Elite (>$300k)
AIJOB0320,AI Solutions Architect,AI Engineering,Entry (0-2 yrs),13,Master's,246000,180000,320000,Dubai,UAE,Hybrid,Startup (1-50),Automotive,Enterprise Architecture|Cloud|System Design|Communication|Statistics,17.9,84,8.1,9,2026,2,0,1,0,Upper-Mid ($150-200k)
AIJOB1490,AI Security Engineer,Security,Lead (10+ yrs),13,Associate's,90000,140000,260000,Paris,France,Fully Remote,Mid-size (501-5000),Research,Cybersecurity|Risk Analysis|ML Security|Python|Cloud|Linux|Leadership,16.7,80,6.6,10,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB1491,Prompt Engineer,Security,Senior (6-9 yrs),13,Associate's,90000,90000,200000,Toronto,Canada,On-site,Big Tech (FAANG+),Automotive,Prompt Design|NLP|Documentation|Testing|Linux|Research|Agile,4.5,82,16.0,9,2026,3,1,0,1,Mid ($100-150k)
AIJOB1449,Prompt Engineer,Robotics,Lead (10+ yrs),12,Bachelor's,100000,90000,200000,Beijing,China,On-site,Big Tech (FAANG+),Research,Python|LLM APIs|Documentation|Linux|Communication,7.6,82,29.5,10,2025,9,1,0,1,Mid ($100-150k)
AIJOB1450,Deep Learning Engineer,Robotics,Senior (6-9 yrs),12,Master's,100000,141000,270000,Zurich,Switzerland,Fully Remote,Enterprise (5000+),Research,CUDA|TensorFlow|Neural Networks|Linux|Statistics,4.4,89,14.1,9,2025,6,1,1,0,Senior ($200-300k)
AIJOB1451,AI Compliance Manager,Security,Senior (6-9 yrs),12,Associate's,100000,100000,200000,Chicago,USA,Hybrid,Mid-size (501-5000),Education,Legal Knowledge|Risk Management|Auditing|EU AI Act|Git,13.9,68,29.2,6,2026,2,1,1,0,Upper-Mid ($150-200k)
AIJOB1452,Robotics Engineer (AI),Security,Lead (10+ yrs),12,Bachelor's,100000,125000,240000,Dubai,UAE,Fully Remote,Startup (1-50),Research,C++|Python|Control Systems|Communication|Statistics|Leadership,14.6,76,14.1,9,2025,12,1,1,0,Upper-Mid ($150-200k)
AIJOB1453,Data Engineer (AI),Security,Lead (10+ yrs),12,PhD,100000,130000,220000,Bangalore,India,Fully Remote,Enterprise (5000+),Government,ETL|Python|Feature Stores|Spark|Airflow|dbt|SQL|Agile|Statistics|Research,12.4,88,11.3,9,2026,1,1,1,0,Mid ($100-150k)
AIJOB1454,LLM Engineer,Security,Senior (6-9 yrs),12,Associate's,100000,160000,300000,San Francisco,USA,Hybrid,Big Tech (FAANG+),Automotive,Fine-tuning|LLM APIs|Prompt Engineering|Communication,6.7,98,71.7,6,2026,1,1,1,1,Elite (>$300k)
AIJOB0274,Senior Data Scientist,AI Engineering,Entry (0-2 yrs),12,Master's,255000,157000,218000,San Francisco,USA,Hybrid,Startup (1-50),Education,Advanced Statistics|Python|Leadership|Causal Inference|ML|Deep Learning|Problem Solving|Cloud|Linux,6.9,90,16.3,7,2025,10,0,1,0,Upper-Mid ($150-200k)
